문과대학,외국어대학,자율전공학부,자유전공학부,정경대학,국제대학,경영대학,호텔관광대학,생활과학대학,이과대학,공과대학,전자정보대학,소프트웨어융합대학,응용과학대학,생명과학대학,의과대학,한의과대학,치과대학,약학대학,간호과학대학,음악대학,미술대학,무용학부,예술·디자인대학,체육대학
국어국문학과,프랑스어학과,자율전공학부,자유전공학부,정치외교학과,국제학과,경영학과,Hospitality경영학과,아동가족학과,수학과,기계공학과,전자공학과,컴퓨터공학과,응용수학과,유전생명공학과,의예과,한의예과,치의예과,약학과,간호학과,작곡과,미술학부,무용학부,산업디자인학과,체육학과
사학과,스페인어학과,,,행정학과,,회계·세무학과,조리&푸드디자인학과,주거환경학과,물리학과,산업경영공학과,반도체공학과,인공지능학과,응용물리학과,식품생명공학과,,,,한약학과,,성악과,,,시각디자인학과,스포츠의학과
철학과,러시아어학과,,,사회학과,,빅데이터응용학과,관광·엔터테인먼트학부,의상학과,화학과,원자력공학과,생체의공학과,소프트웨어융합학과,응용화학과,융합바이오·신소재공학과,,,,약과학과,,기악과,,,환경조경디자인학과,골프산업학과
영어영문학과,중국어학과,,,경제학과,,,글로벌Hospitality·관광학과,식품영양학과,생물학과,화학공학과,,,우주과학과,스마트팜팍과,,,,,,,,,의류디자인학과,스포츠지도학과
응용영어통번역학과,일본어학과,,,무역학과,,,문화관광산업학과,,지리학과,신소재공학과,,,,,,,,,,,,,디지털콘텐츠학과,태권도학과
,,,,미디어학과,,,조리산업학과,,미래정보디스플레이학부,사회기반시스템공학과,,,,,,,,,,,,,도예학과,
,,,,국제통상·금융투자학부,,,,,,건축공학과,,,,,,,,,,,,,연극영화학과,
,,,,,,,,,,환경학 및 환경공학과,,,,,,,,,,,,,Post Modern 음악학과,
,,,,,,,,,,건축학과,,,,,,,,,,,,,,
